ID,Name,Address,Zip,Date,Result
5950,Cafe 131,"3055 NE 28th Drive, Building 11",32609,8/3/16,Satisfactory
4609,Cafe 131,"3055 NE 28th Drive, Building 11",32609,10/5/16,Satisfactory
1357,Cafe 131,"3055 NE 28th Drive, Building 11",32609,1/10/17,Satisfactory
4912,Caring and Sharing Learning School,1951 SE 4th Street,32641,8/10/16,Satisfactory
9473,Caring and Sharing Learning School,1951 SE 4th Street,32641,2/23/17,Satisfactory
8729,Chef Brothers @ Genetics,2033 Mowry Road,32611,8/25/16,Satisfactory
4815,Chef Brothers @ Genetics,2033 Mowry Road,32611,1/31/17,Unsatisfactory
1549,Chef Brothers @ Genetics,2033 Mowry Road,32611,2/15/17,Satisfactory
5705,Chef Brothers @ Orthopedics,3450 Hull Road,32607,8/8/16,Satisfactory
3806,Chef Brothers @ Orthopedics,3450 Hull Road,32607,11/22/16,Satisfactory
2506,Chi Omega Sorority,807 W Panhellenic Drive,32601,9/14/16,Satisfactory
3783,Chi Omega Sorority,807 W Panhellenic Drive,32601,1/18/17,Satisfactory
1966,Chi Phi Fraternity,1 Fraternity Row,32603,3/31/16,Satisfactory
7572,Chi Phi Fraternity,1 Fraternity Row,32603,9/23/16,Satisfactory
9521,Chi Phi Fraternity,1 Fraternity Row,32603,11/30/16,Satisfactory
1530,Chomp 'n Go @ Hough Hall,138 Union Road,32611,8/2/16,Satisfactory
2205,Chomp 'n Go @ Hough Hall,138 Union Road,32611,10/27/16,Satisfactory
9636,Christian Study Center of Gainesville  Inc.,112 NW 16th Street,32603,8/22/16,Satisfactory
4928,Christian Study Center of Gainesville  Inc.,112 NW 16th Street,32603,1/9/17,Satisfactory
9567,Classic Fare Catering,"655 Reitz Union Drive, Room 1400",32611,9/29/16,Satisfactory
5286,Classic Fare Catering,"655 Reitz Union Drive, Room 1400",32611,12/1/16,Satisfactory
5992,Classic Fare Catering,"655 Reitz Union Drive, Room 1400",32611,3/9/17,Satisfactory
1733,Classic Fare Catering,"655 Reitz Union Drive, Room 1400",32611,8/5/16,Incomplete
3339,Clinical & Translational Reseach Building/Metobolic Kitchen,"2004 Mowry Road, CTRB, North Wing, Third Floor",32610,9/9/16,Satisfactory
3398,Clinical & Translational Reseach Building/Metobolic Kitchen,"2004 Mowry Road, CTRB, North Wing, Third Floor",32610,1/31/17,Incomplete
5862,Clinical & Translational Reseach Building/Metobolic Kitchen,"2004 Mowry Road, CTRB, North Wing, Third Floor",32610,2/10/17,Satisfactory
3126,Coffee 101 @ Santa Fe College,3000 NW 83rd Street,32606,6/15/16,Satisfactory
3835,Coffee 101 @ Santa Fe College,3000 NW 83rd Street,32606,10/19/16,Satisfactory
1697,Cooperative Living Organization,117 NW 15 Street,32603,8/19/16,Satisfactory
4364,Cooperative Living Organization,117 NW 15 Street,32603,11/2/16,Satisfactory
7546,Cornerstone,1520 NW 34th Street,32605,2/28/17,Satisfactory
9362,Cornerstone,1520 NW 34th Street,32605,8/9/16,Satisfactory
7207,Countryside Babtist Chuch,10926 NW 39th Avenue,32606,6/9/16,Satisfactory
1907,Countryside Babtist Chuch,10926 NW 39th Avenue,32606,9/14/16,Satisfactory
5092,Countryside Babtist Chuch,10926 NW 39th Avenue,32606,12/7/16,Satisfactory
1588,Countryside Christian School,10926 NW 39th Avenue,32606,9/14/16,Satisfactory
7565,Countryside Christian School,10926 NW 39th Avenue,32606,12/7/16,Satisfactory
5994,Croutons,"655 Reitz Union Drive, Room 1400",32611,6/27/16,Satisfactory
7537,Croutons,"655 Reitz Union Drive, Room 1400",32611,8/5/16,Satisfactory
6714,Croutons,"655 Reitz Union Drive, Room 1400",32611,12/1/16,Satisfactory
